20:08:07.387 - Parse args
20:08:07.389 - Read data
20:08:07.964 - Train test split
20:08:07.965 - Train size: 353 , test size: 89
20:08:07.968 - Data Normalize
20:08:08.020 - Learnging....
20:08:08.120 - MSE: 12,18397
20:08:08.127 - MSE: 12,06152
20:08:08.131 - MSE: 11,94029
20:08:08.135 - MSE: 11,82029
20:08:08.143 - MSE: 11,70149
20:08:08.147 - MSE: 11,58388
20:08:08.151 - MSE: 11,46746
20:08:08.154 - MSE: 11,35220
20:08:08.156 - MSE: 11,23811
20:08:08.157 - MSE: 11,12516
20:08:08.158 - MSE: 11,01335
20:08:08.159 - MSE: 10,90266
20:08:08.160 - MSE: 10,79308
20:08:08.162 - MSE: 10,68460
20:08:08.164 - MSE: 10,57722
20:08:08.166 - MSE: 10,47091
20:08:08.167 - MSE: 10,36567
20:08:08.171 - MSE: 10,26149
20:08:08.175 - MSE: 10,15836
20:08:08.179 - MSE: 10,05626
20:08:08.181 - MSE: 9,95519
20:08:08.182 - MSE: 9,85514
20:08:08.184 - MSE: 9,75609
20:08:08.189 - MSE: 9,65803
20:08:08.190 - MSE: 9,56097
20:08:08.193 - MSE: 9,46487
20:08:08.195 - MSE: 9,36975
20:08:08.199 - MSE: 9,27558
20:08:08.203 - MSE: 9,18235
20:08:08.205 - MSE: 9,09007
20:08:08.208 - MSE: 8,99871
20:08:08.211 - MSE: 8,90826
20:08:08.213 - MSE: 8,81873
20:08:08.214 - MSE: 8,73010
20:08:08.216 - MSE: 8,64236
20:08:08.217 - MSE: 8,55550
20:08:08.219 - MSE: 8,46951
20:08:08.220 - MSE: 8,38439
20:08:08.221 - MSE: 8,30012
20:08:08.222 - MSE: 8,21670
20:08:08.223 - MSE: 8,13412
20:08:08.224 - MSE: 8,05236
20:08:08.229 - MSE: 7,97143
20:08:08.235 - MSE: 7,89132
20:08:08.236 - MSE: 7,81201
20:08:08.237 - MSE: 7,73349
20:08:08.239 - MSE: 7,65577
20:08:08.240 - MSE: 7,57882
20:08:08.241 - MSE: 7,50265
20:08:08.243 - MSE: 7,42725
20:08:08.245 - MSE: 7,35260
20:08:08.248 - MSE: 7,27870
20:08:08.249 - MSE: 7,20555
20:08:08.250 - MSE: 7,13313
20:08:08.252 - MSE: 7,06143
20:08:08.254 - MSE: 6,99046
20:08:08.258 - MSE: 6,92021
20:08:08.259 - MSE: 6,85065
20:08:08.260 - MSE: 6,78180
20:08:08.273 - MSE: 6,71364
20:08:08.278 - MSE: 6,64617
20:08:08.279 - MSE: 6,57937
20:08:08.280 - MSE: 6,51324
20:08:08.282 - MSE: 6,44778
20:08:08.283 - MSE: 6,38298
20:08:08.284 - MSE: 6,31883
20:08:08.285 - MSE: 6,25532
20:08:08.285 - MSE: 6,19245
20:08:08.286 - MSE: 6,13021
20:08:08.286 - MSE: 6,06860
20:08:08.287 - MSE: 6,00761
20:08:08.287 - MSE: 5,94723
20:08:08.288 - MSE: 5,88746
20:08:08.289 - MSE: 5,82828
20:08:08.290 - MSE: 5,76971
20:08:08.290 - MSE: 5,71172
20:08:08.291 - MSE: 5,65431
20:08:08.292 - MSE: 5,59748
20:08:08.293 - MSE: 5,54123
20:08:08.294 - MSE: 5,48553
20:08:08.298 - MSE: 5,43040
20:08:08.299 - MSE: 5,37582
20:08:08.300 - MSE: 5,32179
20:08:08.301 - MSE: 5,26831
20:08:08.303 - MSE: 5,21536
20:08:08.304 - MSE: 5,16294
20:08:08.304 - MSE: 5,11105
20:08:08.305 - MSE: 5,05968
20:08:08.305 - MSE: 5,00883
20:08:08.306 - MSE: 4,95849
20:08:08.306 - MSE: 4,90865
20:08:08.307 - MSE: 4,85932
20:08:08.307 - MSE: 4,81048
20:08:08.308 - MSE: 4,76213
20:08:08.309 - MSE: 4,71427
20:08:08.310 - MSE: 4,66689
20:08:08.313 - MSE: 4,61998
20:08:08.314 - MSE: 4,57355
20:08:08.315 - MSE: 4,52758
20:08:08.316 - MSE: 4,48208
20:08:08.317 - MSE: 4,43703
20:08:08.317 - MSE: 4,39244
20:08:08.318 - MSE: 4,34829
20:08:08.319 - MSE: 4,30459
20:08:08.321 - MSE: 4,26133
20:08:08.322 - MSE: 4,21850
20:08:08.323 - MSE: 4,17610
20:08:08.324 - MSE: 4,13413
20:08:08.325 - MSE: 4,09258
20:08:08.326 - MSE: 4,05145
20:08:08.327 - MSE: 4,01073
20:08:08.328 - MSE: 3,97042
20:08:08.330 - MSE: 3,93051
20:08:08.333 - MSE: 3,89101
20:08:08.334 - MSE: 3,85190
20:08:08.335 - MSE: 3,81319
20:08:08.336 - MSE: 3,77486
20:08:08.337 - MSE: 3,73692
20:08:08.338 - MSE: 3,69937
20:08:08.345 - MSE: 3,66219
20:08:08.348 - MSE: 3,62538
20:08:08.349 - MSE: 3,58894
20:08:08.350 - MSE: 3,55287
20:08:08.351 - MSE: 3,51716
20:08:08.352 - MSE: 3,48181
20:08:08.353 - MSE: 3,44682
20:08:08.358 - MSE: 3,41218
20:08:08.361 - MSE: 3,37788
20:08:08.364 - MSE: 3,34393
20:08:08.365 - MSE: 3,31033
20:08:08.366 - MSE: 3,27706
20:08:08.367 - MSE: 3,24412
20:08:08.368 - MSE: 3,21151
20:08:08.369 - MSE: 3,17924
20:08:08.370 - MSE: 3,14728
20:08:08.372 - MSE: 3,11565
20:08:08.374 - MSE: 3,08434
20:08:08.376 - MSE: 3,05334
20:08:08.379 - MSE: 3,02265
20:08:08.381 - MSE: 2,99227
20:08:08.384 - MSE: 2,96220
20:08:08.385 - MSE: 2,93243
20:08:08.386 - MSE: 2,90295
20:08:08.388 - MSE: 2,87378
20:08:08.389 - MSE: 2,84490
20:08:08.390 - MSE: 2,81630
20:08:08.391 - MSE: 2,78800
20:08:08.392 - MSE: 2,75998
20:08:08.393 - MSE: 2,73224
20:08:08.393 - MSE: 2,70478
20:08:08.394 - MSE: 2,67759
20:08:08.395 - MSE: 2,65068
20:08:08.396 - MSE: 2,62404
20:08:08.398 - MSE: 2,59767
20:08:08.400 - MSE: 2,57156
20:08:08.401 - MSE: 2,54571
20:08:08.402 - MSE: 2,52013
20:08:08.403 - MSE: 2,49480
20:08:08.404 - MSE: 2,46973
20:08:08.404 - MSE: 2,44490
20:08:08.405 - MSE: 2,42033
20:08:08.406 - MSE: 2,39601
20:08:08.406 - MSE: 2,37193
20:08:08.407 - MSE: 2,34809
20:08:08.408 - MSE: 2,32449
20:08:08.410 - MSE: 2,30112
20:08:08.411 - MSE: 2,27800
20:08:08.413 - MSE: 2,25510
20:08:08.414 - MSE: 2,23244
20:08:08.416 - MSE: 2,21000
20:08:08.418 - MSE: 2,18779
20:08:08.419 - MSE: 2,16580
20:08:08.420 - MSE: 2,14403
20:08:08.421 - MSE: 2,12248
20:08:08.423 - MSE: 2,10115
20:08:08.424 - MSE: 2,08003
20:08:08.426 - MSE: 2,05913
20:08:08.434 - MSE: 2,03843
20:08:08.445 - MSE: 2,01795
20:08:08.446 - MSE: 1,99767
20:08:08.448 - MSE: 1,97759
20:08:08.449 - MSE: 1,95771
20:08:08.452 - MSE: 1,93804
20:08:08.453 - MSE: 1,91856
20:08:08.454 - MSE: 1,89928
20:08:08.455 - MSE: 1,88019
20:08:08.459 - MSE: 1,86129
20:08:08.463 - MSE: 1,84258
20:08:08.464 - MSE: 1,82406
20:08:08.465 - MSE: 1,80573
20:08:08.466 - MSE: 1,78758
20:08:08.467 - MSE: 1,76962
20:08:08.469 - MSE: 1,75183
20:08:08.471 - MSE: 1,73422
20:08:08.473 - MSE: 1,71679
20:08:08.474 - MSE: 1,69954
20:08:08.476 - MSE: 1,68246
20:08:08.478 - MSE: 1,66555
20:08:08.479 - MSE: 1,64881
20:08:08.482 - MSE: 1,63224
20:08:08.483 - MSE: 1,61583
20:08:08.484 - MSE: 1,59959
20:08:08.485 - MSE: 1,58352
20:08:08.486 - MSE: 1,56760
20:08:08.487 - MSE: 1,55185
20:08:08.487 - MSE: 1,53625
20:08:08.488 - MSE: 1,52081
20:08:08.489 - MSE: 1,50552
20:08:08.489 - MSE: 1,49039
20:08:08.490 - MSE: 1,47541
20:08:08.492 - MSE: 1,46059
20:08:08.493 - MSE: 1,44591
20:08:08.493 - MSE: 1,43137
20:08:08.494 - MSE: 1,41699
20:08:08.495 - MSE: 1,40275
20:08:08.495 - MSE: 1,38865
20:08:08.496 - MSE: 1,37469
20:08:08.497 - MSE: 1,36087
20:08:08.498 - MSE: 1,34720
20:08:08.498 - MSE: 1,33366
20:08:08.500 - MSE: 1,32025
20:08:08.500 - MSE: 1,30698
20:08:08.501 - MSE: 1,29385
20:08:08.502 - MSE: 1,28084
20:08:08.503 - MSE: 1,26797
20:08:08.504 - MSE: 1,25523
20:08:08.506 - MSE: 1,24261
20:08:08.511 - MSE: 1,23012
20:08:08.513 - MSE: 1,21776
20:08:08.514 - MSE: 1,20552
20:08:08.518 - MSE: 1,19340
20:08:08.519 - MSE: 1,18141
20:08:08.520 - MSE: 1,16954
20:08:08.520 - MSE: 1,15778
20:08:08.522 - MSE: 1,14615
20:08:08.523 - MSE: 1,13463
20:08:08.524 - MSE: 1,12322
20:08:08.525 - MSE: 1,11193
20:08:08.527 - MSE: 1,10076
20:08:08.533 - MSE: 1,08969
20:08:08.536 - MSE: 1,07874
20:08:08.538 - MSE: 1,06790
20:08:08.539 - MSE: 1,05717
20:08:08.540 - MSE: 1,04654
20:08:08.541 - MSE: 1,03602
20:08:08.545 - MSE: 1,02561
20:08:08.547 - MSE: 1,01530
20:08:08.550 - MSE: 1,00510
20:08:08.552 - MSE: 0,99500
20:08:08.553 - MSE: 0,98500
20:08:08.555 - MSE: 0,97510
